,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
435,Coquimbo,40,CL,93,-29.95,-71.34,287.15,1.0
436,Comodoro Rivadavia,0,AR,67,-45.87,-67.48,289.15,1.0
437,Mutsu,75,JP,86,41.29,141.2,274.15,7.2
438,Gueret,12,FR,86,46.17,1.87,276.15,1.5
439,Marsa Matruh,38,EG,70,31.35,27.25,282.15,4.6
440,Sola,19,TZ,87,-3.17,33.8,290.74,2.01
441,Shahr-e Babak,0,IR,55,30.12,55.12,276.9,0.2
442,Ostersund,61,SE,86,63.18,14.64,274.82,8.7
443,Omaruru,97,NA,38,-21.42,15.95,295.43,1.36
444,Altamira,100,BR,98,-3.2,-52.21,296.4,1.01
445,Dunmore East,100,IE,94,52.15,-6.99,282.04,2.24
446,Channel-Port aux Basques,0,CA,78,47.57,-59.14,268.8,4.76
447,Ternate,40,PH,70,14.29,120.72,304.26,1.5
448,Atambua,93,ID,62,-9.11,124.89,303.29,0.28
449,Petrozavodsk,87,RU,100,61.79,34.39,274.15,4.0
450,Galle,0,GN,34,10.08,-12.83,293.58,0.75
451,Vievis,90,LT,69,54.77,24.82,276.15,7.7
452,Quatre Cocos,75,MU,88,-20.21,57.76,299.82,8.2
453,Kisangani,88,CD,88,0.52,25.21,295.08,0.61
454,Torres,38,BR,89,-29.34,-49.73,297.18,9.33
455,Pizarro,100,CO,86,4.95,-77.37,299.13,2.76
456,Nishihara,20,JP,72,35.74,139.53,292.59,1.5
457,Ryotsu,75,JP,74,38.08,138.43,278.15,2.1
458,Barcelos,100,BR,97,-0.97,-62.93,296.56,1.74
459,Riyadh,2,SA,58,24.63,46.72,285.15,1.06
460,Pevek,100,RU,98,69.7,170.27,243.64,1.82
461,Kabo,69,CF,29,7.69,18.62,292.15,0.8
462,Juneau,90,US,93,58.3,-134.42,277.15,1.5
463,Chicama,75,PE,88,-7.84,-79.15,294.15,4.1
464,Tura,100,RU,89,64.27,100.22,246.37,3.54
465,Marand,75,IR,74,38.43,45.77,274.15,2.1
466,Nioro,64,GM,11,13.79,-15.05,295.82,5.33
467,Teya,5,MX,88,21.05,-89.07,297.15,3.1
468,Raton,1,US,66,36.9,-104.44,262.59,2.6
469,Husavik,32,CA,91,50.56,-96.99,259.82,4.02
470,Shache,100,CN,52,38.42,77.24,269.36,1.55
471,Surin,20,TH,69,14.88,103.49,304.26,6.7
472,Noshiro,75,JP,75,40.21,140.05,273.15,8.7
473,Hofn,100,IS,77,64.25,-15.21,279.67,15.54
474,Biltine,100,TD,19,14.53,20.93,290.61,5.1
475,Pacific Grove,1,US,81,36.62,-121.92,284.26,4.1
476,San Cristobal,36,HN,88,14.68,-86.92,291.89,2.02
477,Igrim,100,RU,80,63.19,64.42,261.73,7.5
478,Desaguadero,94,PE,89,-16.56,-69.04,279.76,6.58
479,Forest Hills,75,ZA,83,-29.76,30.83,296.15,5.7
480,Erzin,75,TR,100,36.95,36.2,282.59,2.6
481,Tendo,75,JP,75,38.35,140.4,285.15,4.6
482,Belaya Gora,0,RU,80,68.54,146.19,237.91,0.73
483,Rincon,100,PA,57,8.46,-82.28,294.26,3.13
484,Tiznit,0,MA,32,29.7,-9.73,285.4,3.0
485,Tromso,40,NO,68,69.65,18.96,271.15,6.2
486,Birnin Kebbi,0,NG,19,12.45,4.2,290.13,4.49
487,Garden City,90,US,89,43.62,-116.24,274.26,1.5
488,Camacha,20,PT,82,33.08,-16.33,290.15,4.6
489,Paamiut,2,GL,44,61.99,-49.67,266.81,3.45
490,Zhigansk,100,RU,95,66.77,123.37,243.48,6.23
491,Seidu,0,NG,18,8.32,4.47,293.9,3.2
492,Kenora,95,CA,85,49.76,-94.48,266.15,8.2
493,Anadyr,20,RU,66,64.73,177.51,238.15,3.0
494,Kathu,0,ZA,88,-27.7,23.05,290.93,4.02
495,Yerofey Pavlovich,0,RU,85,53.97,121.97,247.07,1.93
496,Kathmandu,75,NP,75,27.71,85.32,281.15,1.0
497,Nara,75,JP,53,34.68,135.8,285.15,10.8
498,Namatanai,89,PG,74,-3.66,152.44,301.88,2.71
499,Klyuchevskiy,0,RU,83,53.53,119.45,245.77,1.23
500,Salisbury,100,GB,100,51.07,-1.8,279.26,1.5
501,Sivaki,0,RU,89,52.63,126.75,243.72,3.74
502,Sechura,67,PE,85,-5.56,-80.82,294.94,4.19
503,Iracoubo,100,GF,75,5.48,-53.21,299.73,8.39
504,Taoudenni,0,ML,26,22.68,-3.98,283.94,4.82
505,Kaifeng,0,CN,19,34.8,114.35,270.15,2.0
506,Ayr,0,AU,54,-19.58,147.4,304.82,1.79
507,Kirs,100,RU,94,59.34,52.24,267.05,4.82
508,Komsomolskiy,100,RU,93,67.55,63.78,262.41,7.71
509,Aldan,100,RU,96,58.61,125.39,243.91,1.26
510,Bandarbeyla,10,SO,83,9.49,50.81,299.44,8.31
511,Bubaque,40,GW,47,11.28,-15.83,300.57,5.01
512,Havoysund,100,NO,58,71.0,24.66,271.15,7.2
513,Sao Felix do Xingu,100,BR,96,-6.64,-51.99,295.36,0.52
514,Dudinka,100,RU,84,69.41,86.18,258.15,13.0
515,Aloleng,0,PH,44,16.13,119.78,304.47,3.79
516,Yabrud,0,SY,86,33.97,36.66,277.15,2.4
517,Sergeyevka,78,KZ,97,53.88,67.42,251.54,3.96
518,Amahai,0,ID,62,-3.31,129.0,303.1,2.03
519,Shingu,75,JP,62,33.72,135.99,287.15,11.8
520,Mallaig,100,CA,89,54.21,-111.37,265.72,3.15
521,Qaqortoq,0,GL,65,60.72,-46.03,258.15,2.6
522,Rosarito,75,CO,100,4.91,-75.23,293.15,1.0
523,Muravlenko,43,RU,67,63.79,74.5,257.17,12.38
524,Kieta,100,PG,69,-6.22,155.63,301.74,2.18
525,Padang,71,ID,63,-0.92,100.36,300.8,1.05
526,Yaan,0,NG,21,7.38,8.57,293.88,2.05
527,Puerto Baquerizo Moreno,64,EC,90,-0.9,-89.6,297.02,5.2
528,Lasa,40,CY,67,34.92,32.53,288.15,1.5
529,Oum Hadjer,77,TD,19,13.3,19.7,291.3,3.31
530,Qianan,0,CN,72,44.99,124.06,256.53,7.01
